ITEM_ID,DATE_TIME,CLAIM
999000385243,2017-06-07 09:50:59,1
999000119921,2017-06-07 13:45:59,1
999000092384,2017-06-07 13:35:59,1
999000614769,2017-06-07 13:25:59,1
999000080770,2017-06-07 13:05:59,1
999000722664,2017-06-07 15:45:59,1
999000174530,2017-06-07 15:40:59,1
999000204009,2017-06-07 15:35:59,1
999000500721,2017-06-07 15:15:59,1
999000489565,2017-06-07 15:10:59,1
999000477580,2017-06-07 16:40:59,1
999000626210,2017-06-07 16:05:59,1
999000198706,2017-06-07 17:55:59,1
999000401819,2017-06-07 17:20:59,1
999000157460,2017-06-07 17:15:59,1
999000260221,2017-06-07 18:45:59,1
999000934455,2017-06-07 18:10:59,1
999000350358,2017-06-07 18:05:59,1
999000252250,2017-06-07 19:40:59,1
999000817819,2017-06-07 19:05:59,1
999000480455,2017-06-07 19:00:59,1
999000135126,2017-06-23 18:50:59,1
999000930328,2017-06-26 08:55:59,1
999000674019,2017-06-26 15:20:59,1
999000267147,2017-06-30 22:55:59,1
999000038327,2017-07-03 18:50:59,1
999000382780,2017-07-05 07:55:59,1
999000502800,2017-07-05 07:50:59,1
999000883898,2017-07-05 14:55:59,1
999000091151,2017-07-05 14:45:59,1
999000717948,2017-07-05 15:55:59,1
999000556021,2017-07-11 17:55:59,1
999000236438,2017-07-11 17:50:59,1
999000289639,2017-07-11 18:50:59,1
999000328556,2017-07-11 19:50:59,1
999000636076,2017-07-11 19:45:59,1
999000194876,2017-07-11 20:55:59,1
999000177227,2017-07-11 22:55:59,1
999000397115,2017-07-11 22:50:59,1
999000661220,2017-07-11 22:45:59,1
999000346034,2017-07-11 22:40:59,1
999000056136,2017-07-11 22:30:59,1
999000673148,2017-07-11 22:25:59,1
999000352144,2017-07-11 22:05:59,1
999000631071,2017-07-12 07:45:59,1
999000659694,2017-07-12 07:30:59,1
999000854602,2017-07-12 07:15:59,1
999000837800,2017-07-12 08:30:59,1
999000755569,2017-07-12 08:15:59,1
999000226640,2017-07-12 08:10:59,1
999000630706,2017-07-12 08:05:59,1
999000947463,2017-07-12 09:45:59,1
999000755439,2017-07-12 09:40:59,1
999000895327,2017-07-12 09:35:59,1
999000109156,2017-07-12 09:30:59,1
999000436209,2017-07-12 10:35:59,1
999000540665,2017-07-12 10:20:59,1
999000607964,2017-07-12 11:30:59,1
999000281613,2017-07-12 11:25:59,1
999000323187,2017-07-12 11:05:59,1
999000649031,2017-07-12 14:35:59,1
999000905518,2017-07-13 09:55:59,1
999000862326,2017-07-14 09:55:59,1
999000385824,2017-07-14 21:55:59,1
999000300168,2017-07-14 21:50:59,1
999000894363,2017-07-17 18:55:59,1
999000483827,2017-07-18 18:55:59,1
999000259368,2017-07-20 20:55:59,1
999000447921,2017-07-20 20:30:59,1
999000850471,2017-07-20 21:55:59,1
999000778216,2017-07-20 21:40:59,1
999000467563,2017-07-20 22:50:59,1
999000429884,2017-07-20 22:30:59,1
999000619001,2017-07-21 07:20:59,1
999000833606,2017-07-21 08:00:59,1
999000430887,2017-07-24 12:55:59,1
999000005856,2017-07-24 21:55:59,1
999000833100,2017-07-24 22:50:59,1
999000240112,2017-07-25 20:55:59,1
999000967897,2017-07-25 21:55:59,1
999000965850,2017-07-31 20:55:59,1
999000736402,2017-07-31 20:50:59,1
999000536522,2017-07-31 21:55:59,1
999000659625,2017-08-01 18:50:59,1
999000327167,2017-08-02 15:05:59,1
999000706752,2017-08-02 17:45:59,1
999000709586,2017-08-02 21:55:59,1
999000414987,2017-08-09 17:50:59,1
999000265206,2017-08-28 14:55:59,1
999000940012,2017-08-29 22:05:59,1
999000568591,2017-09-12 08:40:59,1
999000370865,2017-09-12 12:35:59,1
999000182586,2017-09-14 19:50:59,1
999000222377,2017-09-20 07:55:59,1
999000328802,2017-09-25 07:55:59,1
999000822302,2017-10-05 19:05:59,1
999000544610,2017-10-12 07:55:59,1
999000329640,2017-10-12 08:50:59,1
999000271239,2017-10-17 15:55:59,1
